Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
COG_ZSTD_L15_P2,15,2,134.97,38.79,36.744,1.803,S2-16D_V2_002012_20260728,B04
RAW_SemComp,0,0,220.51,0.0,0.0,0.506,S2-16D_V2_001014_20260728,B03
COG_ZSTD_L01_P2,1,2,42.93,80.53,3.069,2.437,S2-16D_V2_001014_20260728,B03
COG_ZSTD_L03_P2,3,2,40.44,81.66,2.692,1.278,S2-16D_V2_001014_20260728,B03
COG_ZSTD_L05_P2,5,2,38.92,82.35,6.506,1.302,S2-16D_V2_001014_20260728,B03
COG_ZSTD_L07_P2,7,2,38.91,82.36,4.995,2.994,S2-16D_V2_001014_20260728,B03
COG_ZSTD_L09_P2,9,2,38.9,82.36,3.198,2.623,S2-16D_V2_001014_20260728,B03
COG_ZSTD_L11_P2,11,2,38.9,82.36,6.806,4.274,S2-16D_V2_001014_20260728,B03
COG_ZSTD_L13_P2,13,2,38.89,82.36,14.701,0.684,S2-16D_V2_001014_20260728,B03
COG_ZSTD_L15_P2,15,2,38.89,82.36,27.2,1.587,S2-16D_V2_001014_20260728,B03
RAW_SemComp,0,0,220.51,0.0,0.0,0.592,S2-16D_V2_002011_20260728,B01
COG_ZSTD_L01_P2,1,2,38.84,82.39,1.508,0.595,S2-16D_V2_002011_20260728,B01
COG_ZSTD_L03_P2,3,2,36.45,83.47,1.474,0.921,S2-16D_V2_002011_20260728,B01
COG_ZSTD_L05_P2,5,2,35.07,84.09,2.601,0.8,S2-16D_V2_002011_20260728,B01
COG_ZSTD_L07_P2,7,2,34.17,84.51,3.206,0.627,S2-16D_V2_002011_20260728,B01
COG_ZSTD_L09_P2,9,2,33.94,84.61,6.851,1.268,S2-16D_V2_002011_20260728,B01
COG_ZSTD_L11_P2,11,2,33.21,84.94,8.876,1.558,S2-16D_V2_002011_20260728,B01
COG_ZSTD_L13_P2,13,2,32.98,85.04,23.5,2.394,S2-16D_V2_002011_20260728,B01
COG_ZSTD_L15_P2,15,2,32.56,85.24,33.576,0.698,S2-16D_V2_002011_20260728,B01
RAW_SemComp,0,0,220.51,0.0,0.0,1.434,S2-16D_V2_002011_20260728,B12
COG_ZSTD_L01_P2,1,2,63.22,71.33,4.081,2.592,S2-16D_V2_002011_20260728,B12
COG_ZSTD_L03_P2,3,2,58.46,73.49,7.292,1.143,S2-16D_V2_002011_20260728,B12
COG_ZSTD_L05_P2,5,2,57.02,74.14,3.269,1.012,S2-16D_V2_002011_20260728,B12
COG_ZSTD_L07_P2,7,2,56.84,74.22,2.307,0.697,S2-16D_V2_002011_20260728,B12
COG_ZSTD_L09_P2,9,2,56.81,74.24,3.005,1.152,S2-16D_V2_002011_20260728,B12
COG_ZSTD_L11_P2,11,2,56.72,74.28,8.191,1.92,S2-16D_V2_002011_20260728,B12
COG_ZSTD_L13_P2,13,2,56.72,74.28,22.028,0.803,S2-16D_V2_002011_20260728,B12
COG_ZSTD_L15_P2,15,2,56.72,74.28,31.764,4.692,S2-16D_V2_002011_20260728,B12
RAW_SemComp,0,0,220.51,0.0,0.0,0.909,S2-16D_V2_002012_20260728,B02
COG_ZSTD_L01_P2,1,2,147.09,33.3,5.649,1.614,S2-16D_V2_002012_20260728,B02
COG_ZSTD_L03_P2,3,2,134.92,38.81,7.402,3.217,S2-16D_V2_002012_20260728,B02
COG_ZSTD_L05_P2,5,2,132.16,40.07,5.977,2.523,S2-16D_V2_002012_20260728,B02
COG_ZSTD_L07_P2,7,2,131.8,40.23,7.31,2.169,S2-16D_V2_002012_20260728,B02
COG_ZSTD_L09_P2,9,2,131.79,40.23,8.93,2.053,S2-16D_V2_002012_20260728,B02
COG_ZSTD_L11_P2,11,2,131.52,40.36,13.75,1.562,S2-16D_V2_002012_20260728,B02
COG_ZSTD_L13_P2,13,2,131.56,40.34,29.894,1.24,S2-16D_V2_002012_20260728,B02
COG_ZSTD_L15_P2,15,2,131.56,40.34,36.297,0.976,S2-16D_V2_002012_20260728,B02
RAW_SemComp,0,0,220.51,0.0,0.0,1.157,S2-16D_V2_001014_20260728,NDVI
COG_ZSTD_L01_P2,1,2,47.56,78.43,1.168,0.813,S2-16D_V2_001014_20260728,NDVI
COG_ZSTD_L03_P2,3,2,47.57,78.43,3.645,1.646,S2-16D_V2_001014_20260728,NDVI
COG_ZSTD_L05_P2,5,2,46.91,78.73,4.575,2.067,S2-16D_V2_001014_20260728,NDVI
COG_ZSTD_L07_P2,7,2,46.88,78.74,6.544,1.056,S2-16D_V2_001014_20260728,NDVI
COG_ZSTD_L09_P2,9,2,46.88,78.74,4.345,0.589,S2-16D_V2_001014_20260728,NDVI
COG_ZSTD_L11_P2,11,2,46.88,78.74,4.308,1.11,S2-16D_V2_001014_20260728,NDVI
COG_ZSTD_L13_P2,13,2,46.66,78.84,14.128,0.702,S2-16D_V2_001014_20260728,NDVI
COG_ZSTD_L15_P2,15,2,46.66,78.84,25.864,0.951,S2-16D_V2_001014_20260728,NDVI
RAW_SemComp,0,0,220.51,0.0,0.0,0.538,S2-16D_V2_002011_20260728,B07
COG_ZSTD_L01_P2,1,2,71.06,67.77,1.39,0.585,S2-16D_V2_002011_20260728,B07
COG_ZSTD_L03_P2,3,2,69.72,68.38,4.739,1.209,S2-16D_V2_002011_20260728,B07
COG_ZSTD_L05_P2,5,2,68.02,69.15,5.187,1.495,S2-16D_V2_002011_20260728,B07
COG_ZSTD_L07_P2,7,2,67.98,69.17,5.227,1.765,S2-16D_V2_002011_20260728,B07
COG_ZSTD_L09_P2,9,2,67.98,69.17,5.535,2.526,S2-16D_V2_002011_20260728,B07
COG_ZSTD_L11_P2,11,2,67.97,69.17,8.77,1.256,S2-16D_V2_002011_20260728,B07
COG_ZSTD_L13_P2,13,2,67.83,69.24,18.955,1.373,S2-16D_V2_002011_20260728,B07
COG_ZSTD_L15_P2,15,2,67.83,69.24,30.835,2.359,S2-16D_V2_002011_20260728,B07
RAW_SemComp,0,0,220.51,0.0,0.0,1.127,S2-16D_V2_002011_20260728,NDVI
COG_ZSTD_L01_P2,1,2,73.57,66.64,3.207,0.884,S2-16D_V2_002011_20260728,NDVI
COG_ZSTD_L03_P2,3,2,73.48,66.68,4.132,0.587,S2-16D_V2_002011_20260728,NDVI
COG_ZSTD_L05_P2,5,2,72.3,67.22,3.578,0.573,S2-16D_V2_002011_20260728,NDVI
COG_ZSTD_L07_P2,7,2,72.27,67.23,3.952,0.805,S2-16D_V2_002011_20260728,NDVI
COG_ZSTD_L09_P2,9,2,72.26,67.23,6.184,0.717,S2-16D_V2_002011_20260728,NDVI
COG_ZSTD_L11_P2,11,2,72.26,67.23,7.295,1.095,S2-16D_V2_002011_20260728,NDVI
COG_ZSTD_L13_P2,13,2,71.92,67.39,20.57,0.82,S2-16D_V2_002011_20260728,NDVI
COG_ZSTD_L15_P2,15,2,71.92,67.39,27.478,1.577,S2-16D_V2_002011_20260728,NDVI
RAW_SemComp,0,0,220.51,0.0,0.0,0.78,S2-16D_V2_001014_20260728,NBR
COG_ZSTD_L01_P2,1,2,46.3,79.0,2.636,0.615,S2-16D_V2_001014_20260728,NBR
COG_ZSTD_L03_P2,3,2,45.32,79.45,1.676,1.346,S2-16D_V2_001014_20260728,NBR
COG_ZSTD_L05_P2,5,2,44.13,79.99,2.879,0.621,S2-16D_V2_001014_20260728,NBR
COG_ZSTD_L07_P2,7,2,44.1,80.0,2.529,1.108,S2-16D_V2_001014_20260728,NBR
COG_ZSTD_L09_P2,9,2,44.09,80.01,3.34,0.596,S2-16D_V2_001014_20260728,NBR
COG_ZSTD_L11_P2,11,2,44.08,80.01,6.06,0.819,S2-16D_V2_001014_20260728,NBR
COG_ZSTD_L13_P2,13,2,44.02,80.04,12.566,2.326,S2-16D_V2_001014_20260728,NBR
COG_ZSTD_L15_P2,15,2,44.02,80.04,27.469,0.82,S2-16D_V2_001014_20260728,NBR
RAW_SemComp,0,0,220.51,0.0,0.0,0.573,S2-16D_V2_001014_20260728,B06
COG_ZSTD_L01_P2,1,2,46.22,79.04,3.18,2.254,S2-16D_V2_001014_20260728,B06
COG_ZSTD_L03_P2,3,2,45.33,79.44,5.155,4.089,S2-16D_V2_001014_20260728,B06
COG_ZSTD_L05_P2,5,2,44.16,79.97,1.505,0.491,S2-16D_V2_001014_20260728,B06
COG_ZSTD_L07_P2,7,2,44.12,79.99,1.536,0.598,S2-16D_V2_001014_20260728,B06
COG_ZSTD_L09_P2,9,2,44.11,80.0,2.078,0.538,S2-16D_V2_001014_20260728,B06
COG_ZSTD_L11_P2,11,2,44.11,80.0,3.942,0.988,S2-16D_V2_001014_20260728,B06
COG_ZSTD_L13_P2,13,2,44.03,80.03,17.724,2.007,S2-16D_V2_001014_20260728,B06
COG_ZSTD_L15_P2,15,2,44.03,80.03,35.777,1.948,S2-16D_V2_001014_20260728,B06
RAW_SemComp,0,0,220.51,0.0,0.0,0.492,S2-16D_V2_002012_20260728,B12
COG_ZSTD_L01_P2,1,2,147.35,33.18,2.706,0.759,S2-16D_V2_002012_20260728,B12
COG_ZSTD_L03_P2,3,2,134.27,39.11,2.803,0.883,S2-16D_V2_002012_20260728,B12
COG_ZSTD_L05_P2,5,2,130.22,40.95,3.715,0.927,S2-16D_V2_002012_20260728,B12
COG_ZSTD_L07_P2,7,2,129.78,41.15,4.277,0.87,S2-16D_V2_002012_20260728,B12
COG_ZSTD_L09_P2,9,2,129.76,41.16,5.621,0.83,S2-16D_V2_002012_20260728,B12
COG_ZSTD_L11_P2,11,2,129.44,41.3,9.682,0.85,S2-16D_V2_002012_20260728,B12
COG_ZSTD_L13_P2,13,2,129.47,41.29,20.764,0.931,S2-16D_V2_002012_20260728,B12
COG_ZSTD_L15_P2,15,2,129.47,41.29,30.281,0.889,S2-16D_V2_002012_20260728,B12
RAW_SemComp,0,0,220.51,0.0,0.0,1.111,S2-16D_V2_002011_20260728,B03
COG_ZSTD_L01_P2,1,2,66.3,69.93,8.629,1.16,S2-16D_V2_002011_20260728,B03
COG_ZSTD_L03_P2,3,2,63.2,71.34,3.03,1.064,S2-16D_V2_002011_20260728,B03
COG_ZSTD_L05_P2,5,2,61.32,72.19,3.636,1.315,S2-16D_V2_002011_20260728,B03
COG_ZSTD_L07_P2,7,2,61.3,72.2,3.772,1.234,S2-16D_V2_002011_20260728,B03
COG_ZSTD_L09_P2,9,2,61.29,72.2,6.781,1.162,S2-16D_V2_002011_20260728,B03
COG_ZSTD_L11_P2,11,2,61.29,72.21,7.161,0.681,S2-16D_V2_002011_20260728,B03
COG_ZSTD_L13_P2,13,2,61.29,72.21,19.316,2.655,S2-16D_V2_002011_20260728,B03
COG_ZSTD_L15_P2,15,2,61.29,72.21,39.195,1.41,S2-16D_V2_002011_20260728,B03
RAW_SemComp,0,0,220.51,0.0,0.0,1.967,S2-16D_V2_001014_20260728,B07
COG_ZSTD_L01_P2,1,2,47.13,78.63,1.913,0.709,S2-16D_V2_001014_20260728,B07
COG_ZSTD_L03_P2,3,2,46.76,78.8,5.46,1.903,S2-16D_V2_001014_20260728,B07
COG_ZSTD_L05_P2,5,2,45.79,79.23,2.624,0.887,S2-16D_V2_001014_20260728,B07
COG_ZSTD_L07_P2,7,2,45.75,79.25,4.641,0.596,S2-16D_V2_001014_20260728,B07
COG_ZSTD_L09_P2,9,2,45.74,79.26,1.809,0.689,S2-16D_V2_001014_20260728,B07
COG_ZSTD_L11_P2,11,2,45.74,79.26,3.012,0.641,S2-16D_V2_001014_20260728,B07
COG_ZSTD_L13_P2,13,2,45.6,79.32,17.71,3.407,S2-16D_V2_001014_20260728,B07
COG_ZSTD_L15_P2,15,2,45.6,79.32,37.386,1.747,S2-16D_V2_001014_20260728,B07
RAW_SemComp,0,0,220.51,0.0,0.0,2.191,S2-16D_V2_001014_20260728,B8A
COG_ZSTD_L01_P2,1,2,47.23,78.58,2.93,0.708,S2-16D_V2_001014_20260728,B8A
COG_ZSTD_L03_P2,3,2,46.89,78.74,4.97,2.572,S2-16D_V2_001014_20260728,B8A
COG_ZSTD_L05_P2,5,2,45.91,79.18,2.746,2.879,S2-16D_V2_001014_20260728,B8A
COG_ZSTD_L07_P2,7,2,45.88,79.2,5.22,1.369,S2-16D_V2_001014_20260728,B8A
COG_ZSTD_L09_P2,9,2,45.86,79.2,5.702,3.113,S2-16D_V2_001014_20260728,B8A
COG_ZSTD_L11_P2,11,2,45.86,79.2,5.045,1.942,S2-16D_V2_001014_20260728,B8A
COG_ZSTD_L13_P2,13,2,45.73,79.26,24.796,1.419,S2-16D_V2_001014_20260728,B8A
COG_ZSTD_L15_P2,15,2,45.73,79.26,28.148,0.69,S2-16D_V2_001014_20260728,B8A
RAW_SemComp,0,0,220.51,0.0,0.0,0.893,S2-16D_V2_002011_20260728,B08
COG_ZSTD_L01_P2,1,2,74.7,66.12,2.505,1.073,S2-16D_V2_002011_20260728,B08
COG_ZSTD_L03_P2,3,2,74.75,66.1,2.346,1.208,S2-16D_V2_002011_20260728,B08
COG_ZSTD_L05_P2,5,2,74.58,66.18,2.383,1.075,S2-16D_V2_002011_20260728,B08
COG_ZSTD_L07_P2,7,2,74.55,66.19,6.902,1.497,S2-16D_V2_002011_20260728,B08
COG_ZSTD_L09_P2,9,2,74.55,66.19,2.436,0.913,S2-16D_V2_002011_20260728,B08
COG_ZSTD_L11_P2,11,2,74.55,66.19,4.206,0.88,S2-16D_V2_002011_20260728,B08
COG_ZSTD_L13_P2,13,2,74.2,66.35,18.732,1.383,S2-16D_V2_002011_20260728,B08
COG_ZSTD_L15_P2,15,2,74.2,66.35,31.265,0.694,S2-16D_V2_002011_20260728,B08
RAW_SemComp,0,0,110.26,0.0,0.0,0.198,S2-16D_V2_002012_20260728,SCL
COG_ZSTD_L01_P2,1,2,1.11,98.99,1.389,0.294,S2-16D_V2_002012_20260728,SCL
COG_ZSTD_L03_P2,3,2,1.1,99.01,1.388,0.258,S2-16D_V2_002012_20260728,SCL
COG_ZSTD_L05_P2,5,2,1.03,99.06,1.571,0.272,S2-16D_V2_002012_20260728,SCL
