Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
LZW_P1_B256,1,256,37.02,83.21,2.872,1.244,S2-16D_V2_001014_20260728,B03
LZW_P1_B512,1,512,36.86,83.28,4.907,1.67,S2-16D_V2_001014_20260728,B03
LZW_P2_B128,2,128,37.71,82.9,4.512,3.969,S2-16D_V2_001014_20260728,B03
LZW_P2_B256,2,256,36.9,83.27,4.204,4.411,S2-16D_V2_001014_20260728,B03
LZW_P2_B512,2,512,36.57,83.42,9.081,6.072,S2-16D_V2_001014_20260728,B03
RAW_SemComp,0,256,220.51,0.0,0.0,0.584,S2-16D_V2_002011_20260728,B01
LZW_P1_B128,1,128,49.9,77.37,2.108,0.766,S2-16D_V2_002011_20260728,B01
LZW_P1_B256,1,256,50.34,77.17,2.31,1.226,S2-16D_V2_002011_20260728,B01
LZW_P1_B512,1,512,51.41,76.69,2.896,2.098,S2-16D_V2_002011_20260728,B01
LZW_P2_B128,2,128,29.12,86.79,3.573,1.734,S2-16D_V2_002011_20260728,B01
LZW_P2_B256,2,256,28.23,87.2,7.976,3.467,S2-16D_V2_002011_20260728,B01
LZW_P2_B512,2,512,27.98,87.31,8.5,4.085,S2-16D_V2_002011_20260728,B01
RAW_SemComp,0,256,220.51,0.0,0.0,0.804,S2-16D_V2_002011_20260728,B12
LZW_P1_B128,1,128,63.6,71.16,3.733,1.695,S2-16D_V2_002011_20260728,B12
LZW_P1_B256,1,256,63.82,71.06,3.86,1.258,S2-16D_V2_002011_20260728,B12
LZW_P1_B512,1,512,64.42,70.79,3.957,2.315,S2-16D_V2_002011_20260728,B12
LZW_P2_B128,2,128,51.85,76.49,7.887,1.853,S2-16D_V2_002011_20260728,B12
LZW_P2_B256,2,256,51.13,76.81,4.72,2.217,S2-16D_V2_002011_20260728,B12
LZW_P2_B512,2,512,50.92,76.91,6.879,4.196,S2-16D_V2_002011_20260728,B12
RAW_SemComp,0,256,220.51,0.0,0.0,0.99,S2-16D_V2_002012_20260728,B02
LZW_P1_B128,1,128,125.18,43.23,8.02,1.745,S2-16D_V2_002012_20260728,B02
LZW_P1_B256,1,256,125.71,42.99,4.238,1.71,S2-16D_V2_002012_20260728,B02
LZW_P1_B512,1,512,126.7,42.54,12.486,6.963,S2-16D_V2_002012_20260728,B02
LZW_P2_B128,2,128,121.53,44.89,15.756,8.079,S2-16D_V2_002012_20260728,B02
LZW_P2_B256,2,256,121.01,45.12,17.899,11.401,S2-16D_V2_002012_20260728,B02
LZW_P2_B512,2,512,120.97,45.14,21.411,3.62,S2-16D_V2_002012_20260728,B02
RAW_SemComp,0,256,220.51,0.0,0.0,0.98,S2-16D_V2_001014_20260728,NDVI
LZW_P1_B128,1,128,45.04,79.57,5.608,2.699,S2-16D_V2_001014_20260728,NDVI
LZW_P1_B256,1,256,43.99,80.05,3.804,1.294,S2-16D_V2_001014_20260728,NDVI
LZW_P1_B512,1,512,43.67,80.19,3.986,2.696,S2-16D_V2_001014_20260728,NDVI
LZW_P2_B128,2,128,44.59,79.78,3.845,1.672,S2-16D_V2_001014_20260728,NDVI
LZW_P2_B256,2,256,43.16,80.43,9.353,2.281,S2-16D_V2_001014_20260728,NDVI
LZW_P2_B512,2,512,42.54,80.71,6.175,1.291,S2-16D_V2_001014_20260728,NDVI
RAW_SemComp,0,256,220.51,0.0,0.0,1.253,S2-16D_V2_002011_20260728,B07
LZW_P1_B128,1,128,74.64,66.15,4.973,1.882,S2-16D_V2_002011_20260728,B07
LZW_P1_B256,1,256,74.81,66.07,7.552,2.06,S2-16D_V2_002011_20260728,B07
LZW_P1_B512,1,512,75.38,65.81,11.814,2.493,S2-16D_V2_002011_20260728,B07
LZW_P2_B128,2,128,61.96,71.9,8.502,4.598,S2-16D_V2_002011_20260728,B07
LZW_P2_B256,2,256,61.21,72.24,5.902,4.195,S2-16D_V2_002011_20260728,B07
LZW_P2_B512,2,512,60.88,72.39,9.189,4.289,S2-16D_V2_002011_20260728,B07
RAW_SemComp,0,256,220.51,0.0,0.0,0.838,S2-16D_V2_002011_20260728,NDVI
LZW_P1_B128,1,128,74.3,66.31,10.639,3.909,S2-16D_V2_002011_20260728,NDVI
LZW_P1_B256,1,256,73.99,66.45,4.288,1.308,S2-16D_V2_002011_20260728,NDVI
LZW_P1_B512,1,512,74.15,66.37,3.088,2.515,S2-16D_V2_002011_20260728,NDVI
LZW_P2_B128,2,128,67.16,69.54,9.313,2.418,S2-16D_V2_002011_20260728,NDVI
