Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
ZSTD_L09_P2,9,2,103.1,53.25,5.597,0.893,S2-16D_V2_002012_20260728,B04
ZSTD_L11_P2,11,2,103.1,53.25,8.413,0.873,S2-16D_V2_002012_20260728,B04
ZSTD_L13_P2,13,2,103.09,53.25,30.033,0.935,S2-16D_V2_002012_20260728,B04
ZSTD_L15_P2,15,2,103.09,53.25,18.692,2.717,S2-16D_V2_002012_20260728,B04
RAW_SemComp,0,0,220.51,0.0,0.0,0.421,S2-16D_V2_001014_20260728,B03
ZSTD_L01_P2,1,2,32.31,85.35,0.38,0.558,S2-16D_V2_001014_20260728,B03
ZSTD_L03_P2,3,2,30.81,86.03,0.876,0.616,S2-16D_V2_001014_20260728,B03
ZSTD_L05_P2,5,2,30.33,86.24,2.109,1.874,S2-16D_V2_001014_20260728,B03
ZSTD_L07_P2,7,2,30.32,86.25,5.182,0.849,S2-16D_V2_001014_20260728,B03
ZSTD_L09_P2,9,2,30.32,86.25,2.755,0.582,S2-16D_V2_001014_20260728,B03
ZSTD_L11_P2,11,2,30.31,86.25,7.185,0.501,S2-16D_V2_001014_20260728,B03
ZSTD_L13_P2,13,2,30.31,86.26,4.364,0.599,S2-16D_V2_001014_20260728,B03
ZSTD_L15_P2,15,2,30.31,86.26,5.102,0.59,S2-16D_V2_001014_20260728,B03
RAW_SemComp,0,0,220.51,0.0,0.0,0.353,S2-16D_V2_002011_20260728,B01
ZSTD_L01_P2,1,2,26.24,88.1,0.639,0.655,S2-16D_V2_002011_20260728,B01
ZSTD_L03_P2,3,2,24.79,88.76,0.75,0.608,S2-16D_V2_002011_20260728,B01
ZSTD_L05_P2,5,2,23.79,89.21,1.339,0.657,S2-16D_V2_002011_20260728,B01
ZSTD_L07_P2,7,2,23.03,89.56,2.086,0.623,S2-16D_V2_002011_20260728,B01
ZSTD_L09_P2,9,2,22.82,89.65,2.771,0.667,S2-16D_V2_002011_20260728,B01
ZSTD_L11_P2,11,2,22.38,89.85,4.598,0.65,S2-16D_V2_002011_20260728,B01
ZSTD_L13_P2,13,2,22.3,89.89,8.018,0.601,S2-16D_V2_002011_20260728,B01
ZSTD_L15_P2,15,2,22.19,89.94,30.822,0.667,S2-16D_V2_002011_20260728,B01
RAW_SemComp,0,0,220.51,0.0,0.0,0.411,S2-16D_V2_002011_20260728,B12
ZSTD_L01_P2,1,2,46.51,78.91,0.58,0.881,S2-16D_V2_002011_20260728,B12
ZSTD_L03_P2,3,2,42.6,80.68,3.099,2.564,S2-16D_V2_002011_20260728,B12
ZSTD_L05_P2,5,2,42.25,80.84,1.536,0.67,S2-16D_V2_002011_20260728,B12
ZSTD_L07_P2,7,2,42.16,80.88,1.889,0.658,S2-16D_V2_002011_20260728,B12
