Algoritmo,ZLevel,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
DEFLATE_L5_P2,5,2,110.41,49.93,4.347,1.063,S2-16D_V2_002012_20260728,B05
DEFLATE_L6_P2,6,2,110.41,49.93,4.391,1.075,S2-16D_V2_002012_20260728,B05
DEFLATE_L7_P2,7,2,110.41,49.93,5.14,1.076,S2-16D_V2_002012_20260728,B05
DEFLATE_L8_P2,8,2,110.41,49.93,5.142,1.074,S2-16D_V2_002012_20260728,B05
DEFLATE_L9_P2,9,2,107.43,51.28,14.072,1.114,S2-16D_V2_002012_20260728,B05
RAW_SemComp,0,0,220.51,0.0,0.0,0.351,S2-16D_V2_002012_20260728,NBR
DEFLATE_L1_P2,1,2,126.31,42.72,2.596,1.047,S2-16D_V2_002012_20260728,NBR
DEFLATE_L2_P2,2,2,129.55,41.25,3.022,1.08,S2-16D_V2_002012_20260728,NBR
DEFLATE_L3_P2,3,2,129.55,41.25,3.129,1.132,S2-16D_V2_002012_20260728,NBR
DEFLATE_L5_P2,5,2,129.48,41.28,3.85,1.106,S2-16D_V2_002012_20260728,NBR
DEFLATE_L6_P2,6,2,129.48,41.28,3.948,1.099,S2-16D_V2_002012_20260728,NBR
DEFLATE_L7_P2,7,2,129.4,41.32,4.266,1.041,S2-16D_V2_002012_20260728,NBR
DEFLATE_L8_P2,8,2,129.36,41.34,4.211,1.036,S2-16D_V2_002012_20260728,NBR
DEFLATE_L9_P2,9,2,127.16,42.34,10.735,1.064,S2-16D_V2_002012_20260728,NBR
RAW_SemComp,0,0,220.51,0.0,0.0,0.407,S2-16D_V2_001014_20260728,B11
DEFLATE_L1_P2,1,2,30.98,85.95,1.266,0.725,S2-16D_V2_001014_20260728,B11
DEFLATE_L2_P2,2,2,31.43,85.75,1.437,0.641,S2-16D_V2_001014_20260728,B11
DEFLATE_L3_P2,3,2,31.43,85.75,1.438,0.645,S2-16D_V2_001014_20260728,B11
DEFLATE_L5_P2,5,2,31.49,85.72,1.583,0.643,S2-16D_V2_001014_20260728,B11
DEFLATE_L6_P2,6,2,31.49,85.72,1.588,0.639,S2-16D_V2_001014_20260728,B11
DEFLATE_L7_P2,7,2,31.49,85.72,1.876,0.714,S2-16D_V2_001014_20260728,B11
DEFLATE_L8_P2,8,2,31.49,85.72,2.057,0.726,S2-16D_V2_001014_20260728,B11
DEFLATE_L9_P2,9,2,30.78,86.04,7.569,0.709,S2-16D_V2_001014_20260728,B11
RAW_SemComp,0,0,220.51,0.0,0.0,0.421,S2-16D_V2_001014_20260728,B09
DEFLATE_L1_P2,1,2,22.31,89.88,1.114,0.67,S2-16D_V2_001014_20260728,B09
DEFLATE_L2_P2,2,2,21.49,90.26,1.284,0.565,S2-16D_V2_001014_20260728,B09
DEFLATE_L3_P2,3,2,21.11,90.43,1.557,0.69,S2-16D_V2_001014_20260728,B09
DEFLATE_L5_P2,5,2,20.96,90.49,1.694,0.705,S2-16D_V2_001014_20260728,B09
DEFLATE_L6_P2,6,2,20.5,90.7,2.531,0.684,S2-16D_V2_001014_20260728,B09
DEFLATE_L7_P2,7,2,20.27,90.81,3.272,0.664,S2-16D_V2_001014_20260728,B09
DEFLATE_L8_P2,8,2,20.27,90.81,3.198,0.706,S2-16D_V2_001014_20260728,B09
DEFLATE_L9_P2,9,2,19.4,91.2,11.566,0.744,S2-16D_V2_001014_20260728,B09
RAW_SemComp,0,0,220.51,0.0,0.0,0.35,S2-16D_V2_002012_20260728,B01
DEFLATE_L1_P2,1,2,46.49,78.92,1.464,0.898,S2-16D_V2_002012_20260728,B01
DEFLATE_L2_P2,2,2,44.27,79.92,2.039,0.863,S2-16D_V2_002012_20260728,B01
DEFLATE_L3_P2,3,2,42.49,80.73,2.524,0.749,S2-16D_V2_002012_20260728,B01
DEFLATE_L5_P2,5,2,41.66,81.11,3.18,0.824,S2-16D_V2_002012_20260728,B01
DEFLATE_L6_P2,6,2,39.16,82.24,7.696,0.746,S2-16D_V2_002012_20260728,B01
DEFLATE_L7_P2,7,2,38.38,82.6,18.703,0.741,S2-16D_V2_002012_20260728,B01
DEFLATE_L8_P2,8,2,38.02,82.76,30.217,0.72,S2-16D_V2_002012_20260728,B01
DEFLATE_L9_P2,9,2,34.71,84.26,56.333,0.806,S2-16D_V2_002012_20260728,B01
RAW_SemComp,0,0,220.51,0.0,0.0,0.35,S2-16D_V2_002012_20260728,B04
DEFLATE_L1_P2,1,2,105.77,52.03,2.151,1.035,S2-16D_V2_002012_20260728,B04
DEFLATE_L2_P2,2,2,106.58,51.67,3.073,1.061,S2-16D_V2_002012_20260728,B04
DEFLATE_L3_P2,3,2,106.57,51.67,3.247,1.001,S2-16D_V2_002012_20260728,B04
