Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
RAW_SemComp,0,0,220.51,0.0,0.0,0.858,S2-16D_V2_002011_20260728,B12
COG_DEFLATE_L1_P2,1,2,59.52,73.01,4.483,2.854,S2-16D_V2_002011_20260728,B12
COG_DEFLATE_L2_P2,2,2,60.11,72.74,6.617,3.802,S2-16D_V2_002011_20260728,B12
COG_DEFLATE_L3_P2,3,2,60.13,72.73,3.584,2.928,S2-16D_V2_002011_20260728,B12
COG_DEFLATE_L5_P2,5,2,60.49,72.57,6.511,4.063,S2-16D_V2_002011_20260728,B12
COG_DEFLATE_L6_P2,6,2,60.48,72.57,6.504,3.118,S2-16D_V2_002011_20260728,B12
COG_DEFLATE_L7_P2,7,2,60.41,72.61,6.324,0.966,S2-16D_V2_002011_20260728,B12
COG_DEFLATE_L8_P2,8,2,60.41,72.61,2.132,0.78,S2-16D_V2_002011_20260728,B12
COG_DEFLATE_L9_P2,9,2,58.62,73.42,8.336,0.766,S2-16D_V2_002011_20260728,B12
RAW_SemComp,0,0,220.51,0.0,0.0,1.916,S2-16D_V2_002012_20260728,B02
COG_DEFLATE_L1_P2,1,2,136.66,38.03,7.795,5.707,S2-16D_V2_002012_20260728,B02
COG_DEFLATE_L2_P2,2,2,137.07,37.84,8.8,4.826,S2-16D_V2_002012_20260728,B02
COG_DEFLATE_L3_P2,3,2,136.96,37.89,6.203,0.998,S2-16D_V2_002012_20260728,B02
COG_DEFLATE_L5_P2,5,2,138.52,37.18,7.197,1.873,S2-16D_V2_002012_20260728,B02
COG_DEFLATE_L6_P2,6,2,138.51,37.19,7.695,2.816,S2-16D_V2_002012_20260728,B02
COG_DEFLATE_L7_P2,7,2,138.45,37.21,7.915,2.984,S2-16D_V2_002012_20260728,B02
COG_DEFLATE_L8_P2,8,2,138.45,37.21,6.987,3.784,S2-16D_V2_002012_20260728,B02
COG_DEFLATE_L9_P2,9,2,134.58,38.97,15.304,1.742,S2-16D_V2_002012_20260728,B02
RAW_SemComp,0,0,220.51,0.0,0.0,0.78,S2-16D_V2_001014_20260728,NDVI
COG_DEFLATE_L1_P2,1,2,48.2,78.14,3.005,0.703,S2-16D_V2_001014_20260728,NDVI
COG_DEFLATE_L2_P2,2,2,49.66,77.48,3.3,2.086,S2-16D_V2_001014_20260728,NDVI
COG_DEFLATE_L3_P2,3,2,49.66,77.48,4.493,3.592,S2-16D_V2_001014_20260728,NDVI
COG_DEFLATE_L5_P2,5,2,49.98,77.33,5.123,0.994,S2-16D_V2_001014_20260728,NDVI
COG_DEFLATE_L6_P2,6,2,49.98,77.33,3.61,4.388,S2-16D_V2_001014_20260728,NDVI
COG_DEFLATE_L7_P2,7,2,49.96,77.34,6.121,2.197,S2-16D_V2_001014_20260728,NDVI
COG_DEFLATE_L8_P2,8,2,49.96,77.35,5.793,4.583,S2-16D_V2_001014_20260728,NDVI
COG_DEFLATE_L9_P2,9,2,48.57,77.97,10.226,0.982,S2-16D_V2_001014_20260728,NDVI
RAW_SemComp,0,0,220.51,0.0,0.0,0.421,S2-16D_V2_002011_20260728,B07
COG_DEFLATE_L1_P2,1,2,70.43,68.06,5.063,2.82,S2-16D_V2_002011_20260728,B07
COG_DEFLATE_L2_P2,2,2,72.36,67.19,6.989,3.78,S2-16D_V2_002011_20260728,B07
COG_DEFLATE_L3_P2,3,2,72.37,67.18,5.881,4.016,S2-16D_V2_002011_20260728,B07
COG_DEFLATE_L5_P2,5,2,72.52,67.11,4.631,0.834,S2-16D_V2_002011_20260728,B07
COG_DEFLATE_L6_P2,6,2,72.52,67.11,3.221,1.503,S2-16D_V2_002011_20260728,B07
COG_DEFLATE_L7_P2,7,2,72.47,67.14,3.197,1.334,S2-16D_V2_002011_20260728,B07
